Player	Yr		Team 	G 	AB 	R 	H 	2B 	3B 	HR 	GS 	RBI 	BB 	IBB 	SO 	SH 	SF 	HBP 	GIDP AVG 	OBP  	SLG
Bonds	1986 	Pirates 	113 	413 	72 	92 	26 	3 	16 	0 	48 	65 	2 	102 	2 	2 	2 	4 	.223 	.330 	.416
Bonds	1987 	Pirates 	150 	551 	99 	144 	34 	9 	25 	0 	59 	54 	3 	88 	0 	3 	3 	4 	.261 	.329 	.492
Bonds	1988 	Pirates 	144 	538 	97 	152 	30 	5 	24 	0 	58 	72 	14 	82 	0 	2 	2 	3 	.283 	.368 	.491
Bonds	1989 	Pirates 	159 	580 	96 	144 	34 	6 	19 	0 	58 	93 	22 	93 	1 	4 	1 	9 	.248 	.351 	.426
Bonds	1990 	Pirates 	151 	519 	104 	156 	32 	3 	33 	1 	114 	93 	15 	83 	0 	6 	3 	8 	.301 	.406 	.565
Bonds	1991 	Pirates 	153 	510 	95 	149 	28 	5 	25 	0 	116 	107 	25 	73 	0 	13 	4 	8 	.292 	.410 	.514
Bonds	1992 	Pirates 	140 	473 	109 	147 	36 	5 	34 	1 	103 	127 	32 	69 	0 	7 	5 	9 	.311 	.456 	.624
Bonds	1993 	Giants 	159 	539 	129 	181 	38 	4 	46 	1 	123 	126 	43 	79 	0 	7 	2 	11 	.336 	.458 	.677
Bonds	1994 	Giants 	112 	391 	89 	122 	18 	1 	37 	1 	81 	74 	18 	43 	0 	3 	6 	3 	.312 	.426 	.647
Bonds	1995 	Giants 	144 	506 	109 	149 	30 	7 	33 	0 	104 	120 	22 	83 	0 	4 	5 	12 	.294 	.431 	.577
Bonds	1996 	Giants 	158 	517 	122 	159 	27 	3 	42 	2 	129 	151 	30 	76 	0 	6 	1 	11 	.308 	.461 	.615
Bonds	1997 	Giants 	159 	532 	123 	155 	26 	5 	40 	1 	101 	145 	34 	87 	0 	5 	8 	13 	.291 	.446 	.585
Bonds	1998 	Giants 	156 	552 	120 	167 	44 	7 	37 	1 	122 	130 	29 	92 	1 	6 	8 	15 	.303 	.438 	.609
Bonds	1999 	Giants 	102 	355 	91 	93 	20 	2 	34 	0 	83 	73 	9 	62 	0 	3 	3 	6 	.262 	.389 	.617
Bonds	2000 	Giants 	143 	480 	129 	147 	28 	4 	49 	0 	106 	117 	22 	77 	0 	7 	3 	6 	.306 	.440 	.688
Bonds	2001 	Giants 	153 	476 	129 	156 	32 	2 	73 	2 	137 	177 	35 	93 	0 	2 	9 	5 	.328 	.515 	.863
Bonds	2002 	Giants 	143 	403 	117 	149 	31 	2 	46 	1 	110 	198 	68 	47 	0 	2 	9 	4 	.370 	.582 	.799
Bonds	2003 	Giants 	130 	390 	111 	133 	22 	1 	45 	0 	90 	148 	61 	58 	0 	2 	10 	7 	.341 	.529 	.749
Bonds	2004 	Giants 	147 	373 	129 	135 	27 	3 	45 	0 	101 	232 	120 	41 	0 	3 	9 	5 	.362 	.609 	.812
Bonds	2005 	Giants 	14 	42 	8 	12 	1 	0 	5 	0 	10 	9 	3 	6 	0 	1 	0 	0 	.286 	.404 	.667
Aaron	1954 	Braves 	122 	468 	58 	131 	27 	6 	13 	0 	69 	28 	NA 	39 	6 	4 	3 	13 	.280 	.322 	.447
Aaron	1955 	Braves 	153 	602 	105 	189 	37 	9 	27 	0 	106 	49 	5 	61 	7 	4 	3 	20 	.314 	.366 	.540
Aaron	1956 	Braves 	153 	609 	106 	200 	34 	14 	26 	0 	92 	37 	6 	54 	5 	7 	2 	21 	.328 	.365 	.558
Aaron	1957 	Braves 	151 	615 	118 	198 	27 	6 	44 	1 	132 	57 	15 	58 	0 	3 	0 	13 	.322 	.378 	.600
Aaron	1958 	Braves 	153 	601 	109 	196 	34 	4 	30 	2 	95 	59 	16 	49 	0 	3 	1 	21 	.326 	.386 	.546
Aaron	1959 	Braves 	154 	629 	116 	223 	46 	7 	39 	0 	123 	51 	17 	54 	0 	9 	4 	19 	.355 	.401 	.636
Aaron	1960 	Braves 	153 	590 	102 	172 	20 	11 	40 	0 	126 	60 	13 	63 	0 	12 	2 	8 	.292 	.352 	.566
Aaron	1961 	Braves 	155 	603 	115 	197 	39 	10 	34 	1 	120 	56 	20 	64 	1 	9 	2 	16 	.327 	.381 	.594
Aaron	1962 	Braves 	156 	592 	127 	191 	28 	6 	45 	3 	128 	66 	14 	73 	0 	6 	3 	14 	.323 	.390 	.618
Aaron	1963 	Braves 	161 	631 	121 	201 	29 	4 	44 	2 	130 	78 	18 	94 	0 	5 	0 	11 	.319 	.391 	.586
Aaron	1964 	Braves 	145 	570 	103 	187 	30 	2 	24 	0 	95 	62 	9 	46 	0 	2 	0 	22 	.328 	.393 	.514
Aaron	1965 	Braves 	150 	570 	109 	181 	40 	1 	32 	0 	89 	60 	10 	81 	0 	8 	1 	15 	.318 	.379 	.560
Aaron	1966 	Braves 	158 	603 	117 	168 	23 	1 	44 	1 	127 	76 	15 	96 	0 	8 	1 	14 	.279 	.356 	.539
Aaron	1967 	Braves 	155 	600 	113 	184 	37 	3 	39 	1 	109 	63 	19 	97 	0 	6 	0 	11 	.307 	.369 	.573
Aaron	1968 	Braves 	160 	606 	84 	174 	33 	4 	29 	0 	86 	64 	23 	62 	0 	5 	1 	21 	.287 	.354 	.498
Aaron	1969 	Braves 	147 	547 	100 	164 	30 	3 	44 	1 	97 	87 	19 	47 	0 	3 	2 	14 	.300 	.396 	.607
Aaron	1970 	Braves 	150 	516 	103 	154 	26 	1 	38 	1 	118 	74 	15 	63 	0 	6 	2 	13 	.298 	.385 	.574
Aaron	1971 	Braves 	139 	495 	95 	162 	22 	3 	47 	0 	118 	71 	21 	58 	0 	5 	2 	9 	.327 	.410 	.669
Aaron	1972 	Braves 	129 	449 	75 	119 	10 	0 	34 	1 	77 	92 	15 	55 	0 	2 	1 	17 	.265 	.390 	.514
Aaron	1973 	Braves 	120 	392 	84 	118 	12 	1 	40 	0 	96 	68 	13 	51 	0 	4 	1 	7 	.301 	.402 	.643
Aaron	1974 	Braves 	112 	340 	47 	91 	16 	0 	20 	2 	69 	39 	6 	29 	1 	2 	0 	6 	.268 	.341 	.491
Aaron	1975 	Brewers 	137 	465 	45 	109 	16 	2 	12 	0 	60 	70 	3 	51 	1 	6 	1 	15 	.234 	.332 	.355
Aaron	1976 	Brewers 	85 	271 	22 	62 	8 	0 	10 	0 	35 	35 	1 	38 	0 	2 	0 	8 	.229 	.315 	.369
Ruth	1914 	RedSox 	5 	10 	1 	2 	1 	0 	0 	0 	2 	0 	NA 	4 	0 	NA 	0 	NA 	.200 	.200 	.300
Ruth	1915 	RedSox 	42 	92 	16 	29 	10 	1 	4 	0 	21 	9 	NA 	23 	2 	NA 	0 	NA 	.315 	.376 	.576
Ruth	1916 	RedSox 	67 	136 	18 	37 	5 	3 	3 	0 	15 	10 	NA 	23 	4 	NA 	0 	NA 	.272 	.322 	.419
Ruth	1917 	RedSox 	52 	123 	14 	40 	6 	3 	2 	0 	12 	12 	NA 	18 	7 	NA 	0 	NA 	.325 	.385 	.472
Ruth	1918 	RedSox 	95 	317 	50 	95 	26 	11 	11 	0 	66 	58 	NA 	58 	3 	NA 	2 	NA 	.300 	.411 	.555
Ruth	1919 	RedSox 	130 	432 	103 	139 	34 	12 	29 	4 	114 	101 	NA 	58 	3 	NA 	6 	NA 	.322 	.456 	.657
Ruth	1920 	Yankees 	142 	458 	158 	172 	36 	9 	54 	0 	137 	150 	NA 	80 	5 	NA 	3 	NA 	.376 	.532 	.847
Ruth	1921 	Yankees 	152 	540 	177 	204 	44 	16 	59 	0 	171 	145 	NA 	81 	4 	NA 	4 	NA 	.378 	.512 	.846
Ruth	1922 	Yankees 	110 	406 	94 	128 	24 	8 	35 	1 	99 	84 	NA 	80 	4 	NA 	1 	NA 	.315 	.434 	.672
Ruth	1923 	Yankees 	152 	522 	151 	205 	45 	13 	41 	0 	131 	170 	NA 	93 	3 	NA 	4 	NA 	.393 	.545 	.764
Ruth	1924 	Yankees 	153 	529 	143 	200 	39 	7 	46 	0 	121 	142 	NA 	81 	6 	NA 	4 	NA 	.378 	.513 	.739
Ruth	1925 	Yankees 	98 	359 	61 	104 	12 	2 	25 	1 	66 	59 	NA 	68 	6 	NA 	2 	NA 	.290 	.393 	.543
Ruth	1926 	Yankees 	152 	495 	139 	184 	30 	5 	47 	1 	146 	144 	NA 	76 	10 	NA 	3 	NA 	.372 	.516 	.737
Ruth	1927 	Yankees 	151 	540 	158 	192 	29 	8 	60 	2 	164 	137 	NA 	89 	14 	NA 	0 	NA 	.356 	.486 	.772
Ruth	1928 	Yankees 	154 	536 	163 	173 	29 	8 	54 	0 	142 	137 	NA 	87 	8 	NA 	3 	NA 	.323 	.463 	.709
Ruth	1929 	Yankees 	135 	499 	121 	172 	26 	6 	46 	3 	154 	72 	NA 	60 	13 	NA 	3 	NA 	.345 	.430 	.697
Ruth	1930 	Yankees 	145 	518 	150 	186 	28 	9 	49 	1 	153 	136 	NA 	61 	21 	NA 	1 	NA 	.359 	.493 	.732
Ruth	1931 	Yankees 	145 	534 	149 	199 	31 	3 	46 	1 	163 	128 	NA 	51 	0 	NA 	1 	NA 	.373 	.495 	.700
